O168,'TGI Fridays','Restaurant',2,'12 Fleet Street' 
O169,'Golden Beach','Coffee Shop',1,'St Stephens Green' 
O170,'Sheehans','Bar',2,'71 Parnell Street' 
O171,'Les Amis','Restaurant',3,'17 Chatham Street' 
O172,'Pearl Brasserie','Restaurant',2,'11A/11B Vernon Ave' 
O173,'Il Posto','Restaurant',2,'20 Merrion Street Upr' 
O174,'Super Valu','Coffee Shop',2,'10 St Stephens Green' 
O175,'Mao Restaurant','Restaurant',2,'Aston Quay' 
O176,'Kennedy's Bar & Restaurant','Bar',2,'2 - 3 Chatham Row' 
O177,'Da Pino Restaurant','Restaurant',2,'30/32 Westland Row' 
O178,'Salamanca Restaurant','Restaurant',2,'38 - 40 Parliament Street' 
O179,'Mexico to Rome','Restaurant',2,'1 St Andrew St' 
O180,'Ashtons','Bar',6,'23 East Essex Street' 
O181,'The Station House','Bar',5,'11 Vergemount' 
O182,'Govinda's Restaurant','Restaurant',2,'3 - 5 Station Road' 
O183,'Riceland Chinese Takeaway','Fast Food',5,'4 Aungier St' 
O184,'Morrison Hotel','Hotel',1,'17B Main Street' 
O185,'Lin Kee Chinese Take Away','Fast Food',3,'Ormond Quay Lower' 
O186,'Eddie Rockets','Fast Food',4,'Donnybrook' 
O187,'Sinnotts Bar','Restaurant',2,'7 South Anne St' 
O188,'Subway','Coffee Shop',22,'South King Street' 
O189,'Doheny & Nesbitts Pub','Bar',2,'Crown Alley' 
O190,'Foodlife Sandwich Bar','Restaurant',22,'4 - 5 Lower Baggott Street' 
O191,'Café Bar Deli','Restaurant',22,'St Stephens Green Shopping Centre' 
O192,'Changs','Fast Food',2,'12 - 13 South Great Georges Street' 
O193,'Milk Bar Ltd.','Coffee Shop',22,'11A Lower Baggot Street' 
O194,'Café Leon','Restaurant',22,'Setanta Place' 
O195,'One Pico','Restaurant',2,'33 Exchequer Street' 
O196,'Bleu Bistro','Restaurant',2,'Molesworth Place' 
O197,'Cornucopia Restaurant','Restaurant',22,'Dawson Street' 
O198,'SPAR','Coffee Shop',1,'54 - 56 Donnybrook Road' 
O199,'Green Gencko T/A Chameleon Restaurant','Restaurant',2,'Unit 4 (35 - 41) Parnell Street' 
O200,'Doyles Pub','Bar',2,'1 Lower Fownes Street' 
O201,'The Nuthouse Café','Restaurant',5,'9 College St' 
O202,'Macari Take- Away','Fast Food',5,'169A Howth Rd' 
O203,'Feeragh Ltd','Bar',5,'5 Main Street' 
O204,'Bar Italia','Coffee Shop',8,'T/A The Watermill' 
O205,'Celestines Brasserie','Restaurant',5,'Unit 4 The Book end' 
O206,'Café Sora','Coffee Shop',2,'16 Maypark' 
O207,'Jurys Inn','Hotel',1,'32 Aungier St' 
O208,'The Italian Connection','Restaurant',1,'Parnell Street' 
O209,'South William','Bar',2,'95A Talbot Street' 
O210,'Petit Café','Coffee Shop',2,'52 South William Street' 
O211,'National Library of Ireland','Coffee Shop',2,'35A Kildare St' 
O212,'Karaoke Box Ltd.','Restaurant',2,'Kildare Street' 
O213,'The Pembroke Lounge','Restaurant',2,'7 - 9  Exchequer Street' 
O214,'The Leeson Hotel','Restaurant',2,'31 Lower Pembroke Street' 
O215,'Wok Cuisine','Fast Food',5,'26/27 Lr Leeson St' 
O216,'Spar','Coffee Shop',3,'54 - 56 Donnybrook Road' 
O217,'Café 20','Restaurant',2,'7 Vernon Ave' 
O218,'Chatham Brasserie','Restaurant',22,'20 Suffolk Street' 
O219,'O'Briens Irish Sandwich Bar','Coffee Shop',22,'Unit 22 Westbury Mall' 
O220,'Diep Le Shaker Restaurant','Restaurant',22,'34B Grafton Street' 
O221,'Wynns Hotel','Hotel',1,'55 Pembroke Lane' 
O222,'Radisson Royal Hotel','Hotel',8,'35 - 39 Lr Abbey St' 
O223,'Belfield Office Park','Restaurant',4,'Golden Lane' 
O224,'Yamamori Sushi Ltd','Restaurant',1,'Clonskeagh' 
O225,'The Church Café Bar','Restaurant',1,'38/39 Lr Ormond Quay' 
O226,'Spar (Liffey Street)','Coffee Shop',1,'Mary Street' 
O227,'KC Peaches','Coffee Shop',2,'8 Lower Liffey St' 
O228,'Fallon & Byrne','Restaurant',2,'Unit 10 A Trinity Enterprise Centre' 
O229,'Eddie Rockets','Fast Food',4,'Donnybrook' 
O230,'Abrakebabra','Fast Food',2,'3 The Mall' 
O231,'Mace (Killester)','Coffee Shop',5,'16 Westmoreland Street' 
O232,'Trocadero','Restaurant',2,'155 Killester Ave' 
O233,'Supermacs','Fast Food',2,'3 St Andrew St' 
O234,'Madigans Donnybrook','Bar',4,'14 Westmoreland St' 
O235,'Madigans North Earl Street','Bar',1,'135 Morehampton Rd' 
O236,'Mona Lisa Restaurant','Restaurant',2,'26 - 27 Annesley Bridge Road' 
O237,'Thai Spice Restaurant','Restaurant',1,'16A D'Olier Chambers' 
O238,'Eighty - seven Chinese Takeaway','Fast Food',1,'3A Talbot Place' 
O239,'Howl at the Moon','Bar',2,'87 Summerhill' 
O240,'The Bistro','Restaurant',2,'7/8 Lr Mount Street' 
O241,'Spar','Coffee Shop',1,'4/5 Castlemarket' 
O242,'Le Phare 10 Lr Abbey Street','Coffee Shop',1,'63/64 Upr O'Connell Street' 
O243,'O'Sullivans Bar','Bar',2,'4 Clarendon Market' 
O244,'Royal Pizza','Fast Food',1,'10 - 12 Westmoreland Street' 
O245,'Odeon Bar & Grill','Restaurant',2,'11 Lower Liffey Street' 
O246,'Dakota Bar & Grill','Restaurant',2,'57 Harcourt Street' 
O247,'Govinda's Restaurant','Restaurant',1,'3 - 5 Station Road' 
O248,'Southborough Taverns Limited','Bar',1,'83 Middle Abbey Street' 
O249,'Brother Buffet','Restaurant',1,'19 Store Street' 
O250,'The Shack Restaurant','Restaurant',1,'Unit 16 Epicurean Food Hall Lower Liffey Street' 
O251,'Bank of Ireland','Coffee Shop',2,'24 East Essex Street' 
O252,'Fitzsimon's Hotel','Hotel',2,'2-3 College Green' 
O253,'The Courtyard Restaurant','Restaurant',4,'20/21/22 Wellington Quay' 
O254,'Centra Convenience Store','Coffee Shop',2,'Forbes Street' 
O255,'Patrick Guilbald Restaurant','Restaurant',2,'56A Dame Street' 
O256,'Fairview Grill','Fast Food',3,'21 Upper Merrion Street' 
O257,'Apache Pizza','Fast Food',2,'25 Annesley Bridge Road' 
O258,'Trinity Capital Hotel','Hotel',2,'108 Pearse Street' 
O259,'Javaholics','Coffee Shop',3,'Pearse Street' 
O260,'Bay [Dwycos]','Restaurant',3,'1B Merville Avenue' 
O261,'Dylan Hotel','Hotel',2,'367/368 Clontarf Road' 
O262,'IL Baccaro Limited','Restaurant',2,'Eastmoreland Place' 
O263,'D-Café','Coffee Shop',2,'Meeting House Square' 
O264,'Good World Restaurant','Restaurant',2,'Unit 3 Lord Edward Street' 
O265,'Spar','Coffee Shop',2,'54 - 56 Donnybrook Road' 
O266,'Bruno's Restaurant','Restaurant',2,'2/4 Merrion Row' 
